"date","mac_address","plug","temperature","humidity","dew_point","door1","door2","motion1","motion2"
"2023-12-03 23:00:00","W220_895198",919,11.9833333333333,26.9333333333333,-6.53333333333333,0,0,6,0
"2023-12-03 23:30:00","W220_895198",0,11.8333333333333,26.7666666666667,-6.71666666666667,0,0,2,0
"2023-12-04 00:00:00","W220_895198",0,11.7166666666667,26.7,-6.88333333333333,0,0,10,0
"2023-12-04 00:30:00","W220_895198",0,11.65,26.75,-6.9,0,0,25,0
"2023-12-04 01:00:00","W220_895198",1439,11.5166666666667,26.6166666666667,-7.1,0,0,40,0
"2023-12-04 01:30:00","W220_895198",5,11.45,26.5833333333333,-7.16666666666667,0,0,30,2
"2023-12-04 02:00:00","W220_895198",0,11.2833333333333,26.4,-7.41666666666667,0,0,19,0
"2023-12-04 02:30:00","W220_895198",0,11.15,26.3,-7.56666666666667,0,0,2,0
"2023-12-04 03:00:00","W220_895198",0,11.0166666666667,26.2166666666667,-7.7,0,0,22,0
"2023-12-04 03:30:00","W220_895198",0,11,26.15,-7.76666666666667,0,0,2,0
"2023-12-04 04:00:00","W220_895198",0,10.85,26,-7.93333333333333,0,0,24,0
"2023-12-04 04:30:00","W220_895198",0,10.7333333333333,25.9666666666667,-8.08333333333333,0,0,33,0
"2023-12-04 05:00:00","W220_895198",0,10.5833333333333,25.9,-8.23333333333333,0,0,31,0
"2023-12-04 05:30:00","W220_895198",0,10.5,25.85,-8.31666666666667,0,0,3,0
"2023-12-04 06:00:00","W220_895198",0,10.4333333333333,25.75,-8.43333333333333,0,0,4,0
"2023-12-04 06:30:00","W220_895198",0,10.3666666666667,25.7166666666667,-8.48333333333333,0,0,10,0
"2023-12-04 07:00:00","W220_895198",0,10.2666666666667,25.6166666666667,-8.63333333333333,0,0,8,0
"2023-12-04 07:30:00","W220_895198",447,10.2333333333333,25.7333333333333,-8.61666666666667,0,0,18,0
"2023-12-04 08:00:00","W220_895198",0,10.9,28.4333333333333,-6.76666666666667,0,2,14,0
"2023-12-04 08:30:00","W220_895198",0,11.0166666666667,27.8166666666667,-6.95,0,2,0,0
"2023-12-04 09:00:00","W220_895198",0,10.5666666666667,27.2666666666667,-7.56666666666667,2,2,9,5
"2023-12-04 09:30:00","W220_895198",6,10.5,27.4333333333333,-7.53333333333333,7,0,9,4
"2023-12-04 10:00:00","W220_895198",0,10.5833333333333,27.5833333333333,-7.41666666666667,0,0,0,0
"2023-12-04 10:30:00","W220_895198",0,10.65,27.75,-7.3,0,0,0,0
"2023-12-04 11:00:00","W220_895198",0,10.7666666666667,27.7666666666667,-7.16666666666667,0,0,0,0
"2023-12-04 11:30:00","W220_895198",0,10.9666666666667,27.8166666666667,-6.98333333333333,0,0,0,0
"2023-12-04 12:00:00","W220_895198",0,11.0666666666667,27.8833333333333,-6.86666666666667,0,0,0,0
"2023-12-04 12:30:00","W220_895198",0,11.2333333333333,27.9666666666667,-6.7,0,0,0,0
"2023-12-04 13:00:00","W220_895198",0,11.4,27.9666666666667,-6.53333333333333,0,0,0,0
"2023-12-04 13:30:00","W220_895198",0,11.5166666666667,27.7666666666667,-6.56666666666667,0,0,0,0
"2023-12-04 14:00:00","W220_895198",0,11.9666666666667,28,-6.01666666666667,1,3,6,2
"2023-12-04 14:30:00","W220_895198",0,11.9333333333333,28.2833333333333,-5.91666666666667,0,0,19,0
"2023-12-04 15:00:00","W220_895198",0,12.1,28.0166666666667,-5.93333333333333,0,0,16,0
"2023-12-04 15:30:00","W220_895198",0,12.3666666666667,26.4,-6.46666666666667,6,0,16,8
"2023-12-04 16:00:00","W220_895198",0,12.1833333333333,26.8833333333333,-6.4,0,0,0,0
"2023-12-04 16:30:00","W220_895198",0,12.2,27.0833333333333,-6.28333333333333,0,0,0,0
"2023-12-04 17:00:00","W220_895198",0,12.5833333333333,27.7166666666667,-5.63333333333333,2,0,2,2
"2023-12-04 17:30:00","W220_895198",689,13.0166666666667,30.1333333333333,-4.15,0,0,10,3
"2023-12-04 18:00:00","W220_895198",1908,12.6166666666667,30.1333333333333,-4.48333333333333,0,0,27,5
"2023-12-04 18:30:00","W220_895198",1908,12.3833333333333,29.6833333333333,-4.88333333333333,0,0,30,0
"2023-12-04 19:00:00","W220_895198",5212,12.2,29.3166666666667,-5.25,0,0,28,0
