date,mac_address,temperature,humidity,dew_point
2023-11-01 06:00:00,W220_8913B8,20.45,31.549999999999997,2.9
2023-11-07 07:00:00,W220_8913B8,16.4,26.6,-2.95
2023-11-13 05:00:00,W220_8913B8,14.016666666666666,15.033333333333333,-12.299999999999999
2023-11-13 05:30:00,W220_8913B8,15.75,15.133333333333335,-10.833333333333334
2023-11-13 06:00:00,W220_8913B8,16.166666666666668,15.1,-10.466666666666667
2023-11-13 06:30:00,W220_8913B8,16.383333333333336,14.933333333333335,-10.416666666666666
2023-11-13 07:00:00,W220_8913B8,16.5,15.783333333333331,-9.65
2023-11-13 07:30:00,W220_8913B8,16.5,16.25,-9.266666666666667
2023-11-13 08:00:00,W220_8913B8,16.46666666666667,16.466666666666665,-9.15
2023-11-13 08:30:00,W220_8913B8,16.283333333333335,16.233333333333334,-9.483333333333334
2023-11-13 09:00:00,W220_8913B8,16.283333333333335,16.666666666666668,-9.133333333333333
2023-11-13 09:30:00,W220_8913B8,16.2,17.349999999999998,-8.666666666666666
2023-11-13 10:00:00,W220_8913B8,16.183333333333334,17.650000000000002,-8.466666666666667
2023-11-13 10:30:00,W220_8913B8,16.2,17.349999999999998,-8.666666666666666
2023-11-13 11:00:00,W220_8913B8,16.0,17.1,-9.033333333333333
2023-11-13 11:30:00,W220_8913B8,15.883333333333333,16.633333333333336,-9.516666666666667
2023-11-13 12:00:00,W220_8913B8,15.566666666666668,16.650000000000002,-9.75
2023-11-13 12:30:00,W220_8913B8,15.549999999999999,16.8,-9.65
2023-11-13 13:00:00,W220_8913B8,15.466666666666669,16.849999999999998,-9.683333333333334
2023-11-13 13:30:00,W220_8913B8,15.300000000000002,17.05,-9.616666666666667
2023-11-13 14:00:00,W220_8913B8,15.1,17.150000000000002,-9.75
2023-11-13 14:30:00,W220_8913B8,14.916666666666666,17.366666666666664,-9.683333333333332
2023-11-13 15:00:00,W220_8913B8,14.716666666666667,17.349999999999998,-9.9
2023-11-13 15:30:00,W220_8913B8,14.483333333333334,17.433333333333334,-10.033333333333333
2023-11-13 16:00:00,W220_8913B8,14.300000000000002,17.45,-10.200000000000001
2023-11-13 16:30:00,W220_8913B8,14.08333333333333,17.7,-10.200000000000001
2023-11-13 17:00:00,W220_8913B8,13.983333333333334,17.666666666666668,-10.283333333333333
2023-11-13 17:30:00,W220_8913B8,14.0,17.5,-10.383333333333333
2023-11-13 18:00:00,W220_8913B8,13.883333333333333,17.583333333333332,-10.433333333333332
2023-11-13 18:30:00,W220_8913B8,13.766666666666667,17.71666666666667,-10.433333333333334
2023-11-13 19:00:00,W220_8913B8,13.683333333333332,17.816666666666666,-10.4
2023-11-13 19:30:00,W220_8913B8,13.549999999999999,17.833333333333332,-10.5
2023-11-13 20:00:00,W220_8913B8,13.4,17.900000000000002,-10.583333333333334
2023-11-13 20:30:00,W220_8913B8,13.250000000000002,18.0,-10.633333333333333
2023-11-13 21:00:00,W220_8913B8,12.983333333333334,18.333333333333332,-10.633333333333333
2023-11-13 21:30:00,W220_8913B8,13.583333333333334,19.416666666666668,-9.416666666666668
2023-11-13 22:00:00,W220_8913B8,13.816666666666665,19.21666666666667,-9.333333333333334
2023-11-13 22:30:00,W220_8913B8,13.416666666666666,19.433333333333334,-9.533333333333333
2023-11-13 23:00:00,W220_8913B8,13.449999999999998,20.2,-9.0
2023-11-13 23:30:00,W220_8913B8,13.799999999999999,19.849999999999998,-8.95
2023-11-14 00:00:00,W220_8913B8,14.316666666666665,19.750000000000004,-8.583333333333334
2023-11-14 00:30:00,W220_8913B8,14.716666666666667,19.51666666666667,-8.416666666666666
2023-11-14 01:00:00,W220_8913B8,15.200000000000001,19.150000000000002,-8.216666666666667
2023-11-14 01:30:00,W220_8913B8,15.66666666666667,18.849999999999998,-8.049999999999999
2023-11-14 02:00:00,W220_8913B8,16.033333333333335,18.716666666666665,-7.8500000000000005
2023-11-14 02:30:00,W220_8913B8,16.349999999999998,18.5,-7.75
2023-11-14 03:00:00,W220_8913B8,16.65,18.95,-7.183333333333334
2023-11-14 03:30:00,W220_8913B8,16.983333333333334,19.5,-6.533333333333332
2023-11-14 04:00:00,W220_8913B8,17.366666666666664,19.46666666666667,-6.233333333333333
2023-11-14 04:30:00,W220_8913B8,17.45,19.683333333333334,-6.0
2023-11-14 05:00:00,W220_8913B8,17.466666666666665,19.766666666666666,-5.949999999999999
2023-11-14 05:30:00,W220_8913B8,17.616666666666667,19.8,-5.783333333333334
2023-11-14 06:00:00,W220_8913B8,17.766666666666662,19.75,-5.733333333333333
2023-11-14 06:30:00,W220_8913B8,17.75,19.666666666666668,-5.800000000000001
2023-11-14 07:00:00,W220_8913B8,17.533333333333335,17.833333333333336,-7.266666666666667
2023-11-14 08:00:00,W220_8913B8,17.3,19.824999999999996,-6.05
2023-11-14 08:30:00,W220_8913B8,17.21666666666667,19.733333333333334,-6.183333333333333
2023-11-14 09:00:00,W220_8913B8,17.116666666666667,19.766666666666666,-6.233333333333333
2023-11-14 09:30:00,W220_8913B8,17.0,19.98333333333333,-6.233333333333333
2023-11-14 10:00:00,W220_8913B8,17.049999999999997,21.21666666666667,-5.3500000000000005
2023-11-14 10:30:00,W220_8913B8,17.25,21.183333333333334,-5.216666666666666
2023-11-14 11:00:00,W220_8913B8,17.216666666666665,21.200000000000003,-5.233333333333333
2023-11-14 11:30:00,W220_8913B8,16.983333333333334,20.650000000000002,-5.766666666666666
2023-11-14 12:00:00,W220_8913B8,16.7,20.45,-6.1499999999999995
