date,mac_address,plug1
2023-08-18 00:30:00,W220_BE91D4,0.0
2023-08-18 01:00:00,W220_BE91D4,0.0
2023-08-18 01:30:00,W220_BE91D4,0.0
2023-08-18 02:00:00,W220_BE91D4,0.0
2023-08-18 02:30:00,W220_BE91D4,0.0
2023-08-18 03:00:00,W220_BE91D4,0.0
2023-08-18 03:30:00,W220_BE91D4,0.0
2023-08-18 04:00:00,W220_BE91D4,0.0
2023-08-18 04:30:00,W220_BE91D4,0.0
2023-08-18 05:00:00,W220_BE91D4,0.0
2023-08-18 05:30:00,W220_BE91D4,0.0
2023-08-18 06:00:00,W220_BE91D4,0.0
2023-08-18 06:30:00,W220_BE91D4,0.0
2023-08-18 07:00:00,W220_BE91D4,0.0
2023-08-18 07:30:00,W220_BE91D4,0.0
2023-08-18 08:00:00,W220_BE91D4,0.0
2023-08-18 08:30:00,W220_BE91D4,0.0
2023-08-18 09:00:00,W220_BE91D4,0.0
2023-08-18 09:30:00,W220_BE91D4,0.0
2023-08-18 10:00:00,W220_BE91D4,0.0
2023-08-18 10:30:00,W220_BE91D4,0.0
2023-08-18 11:00:00,W220_BE91D4,0.0
2023-08-18 11:30:00,W220_BE91D4,0.0
2023-08-18 12:00:00,W220_BE91D4,0.0
2023-08-18 12:30:00,W220_BE91D4,0.0
2023-08-18 13:00:00,W220_BE91D4,0.0
2023-08-18 13:30:00,W220_BE91D4,0.0
2023-08-18 14:00:00,W220_BE91D4,0.0
2023-08-18 14:30:00,W220_BE91D4,0.0
2023-08-18 15:00:00,W220_BE91D4,0.0
2023-08-18 15:30:00,W220_BE91D4,0.0
2023-08-18 16:00:00,W220_BE91D4,0.0
2023-08-18 16:30:00,W220_BE91D4,0.0
2023-08-18 17:00:00,W220_BE91D4,0.0
2023-08-18 17:30:00,W220_BE91D4,0.0
2023-08-18 18:00:00,W220_BE91D4,0.0
2023-08-18 18:30:00,W220_BE91D4,0.0
2023-08-18 19:00:00,W220_BE91D4,0.0
2023-08-18 19:30:00,W220_BE91D4,0.0
2023-08-18 20:00:00,W220_BE91D4,0.0
2023-08-18 20:30:00,W220_BE91D4,0.0
2023-08-18 21:00:00,W220_BE91D4,0.0
2023-08-18 21:30:00,W220_BE91D4,0.0
2023-08-18 22:00:00,W220_BE91D4,0.0
2023-08-18 22:30:00,W220_BE91D4,0.0
2023-08-18 23:00:00,W220_BE91D4,0.0
2023-08-18 23:30:00,W220_BE91D4,0.0
2023-08-19 00:00:00,W220_BE91D4,0.0
2023-08-19 00:30:00,W220_BE91D4,0.0
2023-08-19 01:00:00,W220_BE91D4,0.0
2023-08-19 01:30:00,W220_BE91D4,0.0
2023-08-19 02:00:00,W220_BE91D4,0.0
2023-08-19 02:30:00,W220_BE91D4,0.0
2023-08-19 03:00:00,W220_BE91D4,0.0
2023-08-19 03:30:00,W220_BE91D4,0.0
2023-08-19 04:00:00,W220_BE91D4,0.0
2023-08-19 04:30:00,W220_BE91D4,0.0
2023-08-19 05:00:00,W220_BE91D4,0.0
2023-08-19 05:30:00,W220_BE91D4,0.0
2023-08-19 06:00:00,W220_BE91D4,0.0
2023-08-19 06:30:00,W220_BE91D4,0.0
2023-08-19 07:00:00,W220_BE91D4,0.0
2023-08-19 07:30:00,W220_BE91D4,0.0
2023-08-19 08:00:00,W220_BE91D4,0.0
2023-08-19 08:30:00,W220_BE91D4,0.0
